WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:25:52,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:53,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:54,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:54,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:55,003 tasks excute check_plug()
DEBUG 2024-10-16 15:25:55,003 tasks excute check_plug()
DEBUG 2024-10-16 15:25:56,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:57,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:58,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:00,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:01,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:01,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:02,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:02,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:05,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:05,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:06,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:07,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:07,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:08,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:08,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:09,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:09,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:10,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:11,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:12,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:12,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:13,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:13,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:14,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:14,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:15,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:15,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:16,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:17,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:17,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:18,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:18,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:19,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:19,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:20,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:20,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:21,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:21,005 tasks excute check_plug()
DEBUG 2024-10-16 15:26:22,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:22,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:23,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:23,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:24,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:24,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:25,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:25,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:26,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:26,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:27,004 tasks excute check_plug()
DEBUG 2024-10-16 15:26:28,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:28,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:29,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:29,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:30,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:30,002 tasks excute check_plug()
